hotel_address,average_score,standard_deviation,skew,number_of_reviews,name,city,latitude,longitude
Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7.33076923077,1.86728507585,-0.584418113684,845,Best Western Blue Tower Hotel,Amsterdam,52.3793659,4.8457179
Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,8.4844605475,1.45544909279,-1.07517114143,1242,Hampshire Hotel Amsterdam American,Amsterdam,52.363889,4.881302
Lepanto 406 Horta Guinard 08025 Barcelona Spain,8.134,1.73518334031,-0.807327484815,50,Ilunion Bel Art,Barcelona,41.4101934,2.1695574
Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria,8.98330914369,1.22492171982,-1.75339923297,689,25hours Hotel beim MuseumsQuartier,Vienna,48.2064745,16.3546297
Lichtensteg 3 01 Innere Stadt 1010 Vienna Austria,8.85375,1.36210563504,-1.80026100265,160,Hotel Topazz,Vienna,48.210285,16.373579
Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands,8.4635371179,1.46275501423,-1.21995282445,458,Hampshire Hotel The Manor Amsterdam,Amsterdam,52.3591467,4.9263601
Linzer Stra e 165 14 Penzing 1140 Vienna Austria,7.84104234528,1.61269764098,-0.988399546869,307,Hotel Kavalier,Vienna,48.1940487,16.2971831
Llan 24 Eixample 08015 Barcelona Spain,8.93333333333,1.15563835173,-1.19724498135,81,Ofelias Hotel 4 Sup,Barcelona,41.3957584,2.1822402
Llull 340 Sant Mart 08019 Barcelona Spain,8.21078717201,1.62573428076,-1.02547407969,343,Vincci Maritimo,Barcelona,41.4082054,2.2124626
London County Hall Westminster Bridge Road Lambeth London SE1 7PB United Kingdom,8.54549356223,1.67838408565,-1.32964449576,233,London Marriott Hotel County Hall,London,51.5016102,-0.1191545
Lope de Vega 141 Sant Mart 08005 Barcelona Spain,8.44090909091,1.55797765462,-0.962418447989,22,The Level at Melia Barcelona Sky,Barcelona,41.406146,2.2008636
Lope de Vega 4 Sant Mart 08005 Barcelona Spain,6.80961538462,1.90183189453,-0.451785408142,52,Eurohotel Diagonal Port,Barcelona,41.4006708,2.2087844
Loreto 21 25 Les Corts 08029 Barcelona Spain,8.1027027027,1.46773266322,-1.12711240256,74,Hotel Derby,Barcelona,41.3897735,2.1419762
